date,S&P500,NASDAQ100
2019-09-10,10814,
2019-09-11,10838,
2019-09-12,10960,
2019-09-13,11010,
2019-09-17,10965,
2019-09-18,10994,
2019-09-19,11020,
2019-09-20,10983,
2019-09-24,10891,
2019-09-25,10743,
2019-09-26,10871,
2019-09-27,10856,
2019-09-30,10808,
2019-10-01,10890,
2019-10-02,10709,
2019-10-03,10456,
2019-10-04,10520,
2019-10-07,10657,
2019-10-08,10674,
2019-10-09,10482,
2019-10-10,10605,
2019-10-11,10749,
2019-10-15,10880,
2019-10-16,11021,
2019-10-17,11000,
2019-10-18,11028,
2019-10-21,10966,
2019-10-23,10991,
2019-10-24,11050,
2019-10-25,11076,
2019-10-28,11128,
2019-10-29,11210,
2019-10-30,11188,
2019-10-31,11227,
2019-11-01,11106,
2019-11-05,11334,
2019-11-06,11351,
2019-11-07,11344,
2019-11-08,11427,
2019-11-11,11434,
2019-11-12,11413,
2019-11-13,11406,
2019-11-14,11402,
2019-11-15,11394,
2019-11-18,11504,
2019-11-19,11481,
2019-11-20,11481,
2019-11-21,11420,
2019-11-22,11431,
2019-11-25,11469,
2019-11-26,11582,
2019-11-27,11617,
2019-11-28,11693,
2019-11-29,11711,
2019-12-02,11680,
2019-12-03,11524,
2019-12-04,11386,
2019-12-05,11494,
2019-12-06,11504,
2019-12-09,11587,
2019-12-10,11558,
2019-12-11,11558,
2019-12-12,11565,
2019-12-13,11776,
2019-12-16,11765,
2019-12-17,11863,
2019-12-18,11865,
2019-12-19,11881,
2019-12-20,11902,
2019-12-23,11961,
2019-12-24,11976,
2019-12-25,11961,
2019-12-26,11986,
2019-12-27,12060,
2019-12-30,12047,
2020-01-06,11873,
2020-01-07,11951,
2020-01-08,11851,
2020-01-09,12066,
2020-01-10,12185,
2020-01-14,12300,
2020-01-15,12260,
2020-01-16,12283,
2020-01-17,12428,
2020-01-20,12460,
2020-01-21,12465,
2020-01-22,12395,
2020-01-23,12378,
2020-01-24,12378,
2020-01-27,12208,
2020-01-28,11994,
2020-01-29,12139,
2020-01-30,12121,
2020-01-31,12168,
2020-02-03,11892,
2020-02-04,11988,
2020-02-05,12263,
2020-02-06,12446,
2020-02-07,12496,
2020-02-10,12402,
2020-02-12,12536,
2020-02-13,12625,
2020-02-14,12606,
2020-02-17,12620,
2020-02-18,12627,
2020-02-19,12600,
2020-02-20,12815,
2020-02-21,12861,
2020-02-25,12171,
2020-02-26,11740,
2020-02-27,11695,
2020-02-28,11089,
2020-03-02,10825,
2020-03-03,11380,
2020-03-04,10973,
2020-03-05,11452,
2020-03-06,10936,
2020-03-09,10319,
2020-03-10,9657,
2020-03-11,10287,
2020-03-12,9762,
2020-03-13,8885,
2020-03-16,9869,
2020-03-17,8671,
2020-03-18,9242,
2020-03-19,8904,
2020-03-23,8700,
2020-03-24,8432,
2020-03-25,9267,
2020-03-26,9342,
2020-03-27,9759,
2020-03-30,9321,
2020-03-31,9738,
2020-04-01,9474,
2020-04-02,9048,
2020-04-03,9310,
2020-04-06,9243,
2020-04-07,9902,
2020-04-08,9848,
2020-04-09,10223,
2020-04-10,10329,
2020-04-13,10293,
2020-04-14,10134,
2020-04-15,10401,
2020-04-16,10221,
2020-04-17,10303,
2020-04-20,10575,
2020-04-21,10376,
2020-04-22,10065,
2020-04-23,10292,
2020-04-24,10277,
2020-04-27,10409,
2020-04-28,10532,
2020-04-30,10714,
2020-05-01,10655,
2020-05-07,10324,
2020-05-08,10456,
2020-05-11,10693,
2020-05-12,10751,
2020-05-13,10494,
2020-05-14,10288,
2020-05-15,10461,
2020-05-18,10477,
2020-05-19,10826,
2020-05-20,10776,
2020-05-21,10934,
2020-05-22,10848,
2020-05-25,10867,
2020-05-26,10879,
2020-05-27,10987,
2020-05-28,11191,
2020-05-29,11130,
2020-06-01,11205,
2020-06-02,11231,
2020-06-03,11443,
2020-06-04,11617,
2020-06-05,11603,
2020-06-08,11948,
2020-06-09,11938,
2020-06-10,11814,
2020-06-11,11666,
2020-06-12,10949,
2020-06-15,11151,
2020-06-16,11252,
2020-06-17,11469,
2020-06-18,11367,
2020-06-19,11391,
2020-06-22,11306,
2020-06-23,11404,
2020-06-24,11406,
2020-06-25,11169,
2020-06-26,11296,
2020-06-29,11037,
2020-06-30,11252,
2020-07-01,11465,
2020-07-02,11456,
2020-07-03,11516,
2020-07-06,11528,
2020-07-07,11672,
2020-07-08,11588,
2020-07-09,11637,
2020-07-10,11555,
2020-07-13,11645,
2020-07-14,11582,
2020-07-15,11740,
2020-07-16,11813,
2020-07-17,11803,
2020-07-20,11865,
2020-07-21,11936,
2020-07-22,11916,
2020-07-27,11646,
2020-07-28,11680,
2020-07-29,11582,
2020-07-30,11721,
2020-07-31,11626,
