date,TOPIX,NASDAQ100,S&P500
2018-03-26,10987,,
2018-03-27,11288,,
2018-03-28,11277,,
2018-03-29,11306,,
2018-03-30,11387,,
2018-04-02,11338,,
2018-04-03,11304,,
2018-04-04,11320,,
2018-04-05,11442,,
2018-04-06,11407,,
2018-04-09,11451,,
2018-04-10,11491,,
2018-04-11,11446,,
2018-04-12,11402,,
2018-04-13,11474,,
2018-04-16,11518,,
2018-04-17,11477,,
2018-04-18,11608,,
2018-04-19,11611,,
2018-04-20,11617,,
2018-04-23,11615,,
2018-04-24,11741,,
2018-04-25,11728,,
2018-04-26,11757,,
2018-04-27,11792,,
2018-05-01,11773,,
2018-05-02,11755,,
2018-05-07,11766,,
2018-05-08,11810,,
2018-05-09,11764,,
2018-05-10,11797,,
2018-05-11,11913,,
2018-05-14,11987,,
2018-05-15,11982,,
2018-05-16,11952,,
2018-05-17,12004,,
2018-05-18,12050,,
2018-05-21,12040,,
2018-05-22,12012,,
2018-05-23,11931,,
2018-05-24,11787,,
2018-05-25,11760,,
2018-05-28,11753,,
2018-05-29,11695,,
2018-05-30,11525,,
2018-05-31,11599,,
2018-06-01,11612,,
2018-06-04,11780,,
2018-06-05,11782,,
2018-06-06,11800,,
2018-06-07,11875,,
2018-06-08,11825,,
2018-06-11,11861,,
2018-06-12,11900,,
2018-06-13,11951,,
2018-06-14,11841,,
2018-06-15,11875,,
2018-06-18,11758,,
2018-06-19,11576,,
2018-06-20,11634,,
2018-06-21,11620,,
2018-06-22,11582,,
2018-06-25,11473,,
2018-06-26,11491,,
2018-06-27,11507,,
2018-06-28,11477,,
2018-06-29,11503,,
2018-07-02,11266,,
2018-07-03,11249,,10038.0
2018-07-04,11253,,9936.0
2018-07-05,11139,,9942.0
2018-07-06,11241,,10057.0
2018-07-09,11376,,10121.0
2018-07-10,11404,,10265.0
2018-07-11,11310,,10288.0
2018-07-12,11361,,10330.0
2018-07-13,11497,,10475.0
2018-07-17,11597,,10445.0
2018-07-18,11637,,10541.0
2018-07-19,11626,,10540.0
2018-07-20,11596,,10486.0
