約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2022/5/9","2022/5/12","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","積立","5,875","13,617","0","-","-","8,000","円"
"2022/5/9","2022/5/13","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","積立","1,038","9,635","0","-","-","1,000","円"
"2022/5/10","2022/5/13","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","積立","851","11,749","0","-","-","1,000","円"
"2022/5/10","2022/5/13","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA","買付","積立","4,407","18,154","0","-","-","8,000","円"
"2022/5/11","2022/5/17","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","積立","7,443","16,122","0","-","-","12,000","円"
"2022/6/8","2022/6/13","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","積立","5,599","14,289","0","-","-","8,000","円"
"2022/6/8","2022/6/14","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","積立","1,012","9,878","0","-","-","1,000","円"
"2022/6/9","2022/6/14","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","積立","824","12,141","0","-","-","1,000","円"
"2022/6/9","2022/6/15","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","積立","6,905","17,380","0","-","-","12,000","円"
"2022/6/9","2022/6/14","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA","買付","積立","4,127","19,387","0","-","-","8,000","円"
"2022/7/8","2022/7/13","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","積立","5,835","13,710","0","-","-","8,000","円"
"2022/7/8","2022/7/14","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","積立","1,049","9,534","0","-","-","1,000","円"
"2022/7/11","2022/7/14","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","積立","834","11,997","0","-","-","1,000","円"
"2022/7/11","2022/7/15","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","積立","7,261","16,527","0","-","-","12,000","円"
"2022/7/11","2022/7/14","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA","買付","積立","4,286","18,667","0","-","-","8,000","円"
